Date,Price,Close,High,Low,Open,Volume,Daily Return,Price Range,Volume Change
1,2020-01-03,226.17999267578125,227.42999267578125,225.47999572753903,225.69000244140625,3023900,-0.009676460089203642,1.949996948242216,-0.19662592986184912
2,2020-01-06,226.9900054931641,227.1300048828125,224.6999969482422,224.9900054931641,4263000,0.0035812752834596395,2.4300079345703125,0.40976884156222093
3,2020-01-07,225.9199981689453,227.25999450683597,225.44000244140625,227.25999450683597,3517000,-0.004713896199500245,1.819992065429716,-0.17499413558526855
4,2020-01-08,225.9900054931641,227.83999633789065,225.8699951171875,226.02999877929688,3780300,0.00030987661466963523,1.9700012207031534,0.074864941711686
5,2020-01-09,228.6499938964844,228.8500061035156,226.9199981689453,226.9199981689453,3497300,0.011770380718897577,1.930007934570284,-0.07486178345633943
6,2020-01-10,226.6199951171875,228.52999877929688,226.58999633789065,228.5,2572900,-0.008878193017647473,1.9400024414062216,-0.2643181883167015
7,2020-01-13,228.4499969482422,228.47000122070312,226.1300048828125,227.0500030517578,3286700,0.008075200205120314,2.339996337890625,0.27743013719926934
8,2020-01-14,227.1699981689453,228.38999938964844,226.8800048828125,227.8500061035156,3355400,-0.005602971312741456,1.5099945068359375,0.020902424924696517
9,2020-01-15,228.3500061035156,228.63999938964844,226.77999877929688,226.8000030517578,2662500,0.005194382814990961,1.8600006103515625,-0.20650295046790246
10,2020-01-16,229.72999572753903,230.02999877929688,228.5200042724609,229.33999633789065,3036400,0.006043308899224886,1.509994506835966,0.14043192488262912
11,2020-01-17,230.1999969482422,231.6100006103516,229.5500030517578,230.1300048828125,6603800,0.002045885297715211,2.0599975585937784,1.1748781451719141
12,2020-01-21,228.6300048828125,231.1300048828125,227.9499969482422,229.8500061035156,5840700,-0.006820122008006302,3.1800079345703125,-0.11555468063842034
13,2020-01-22,229.5399932861328,230.3800048828125,228.41000366210935,229.0,3164300,0.0039801792585656415,1.9700012207031534,-0.4582327460749568
14,2020-01-23,229.3800048828125,229.7700042724609,227.3500061035156,229.42999267578125,4750000,-0.0006969957654432424,2.4199981689453125,0.5011218910975572
15,2020-01-24,226.8600006103516,229.41000366210935,226.0399932861328,229.3999938964844,4022500,-0.010986154934247039,3.370010375976534,-0.15315789473684216
16,2020-01-27,222.4499969482422,223.8999938964844,221.1100006103516,223.6999969482422,5454000,-0.01943931786231412,2.7899932861328125,0.3558732131758857
17,2020-01-28,224.02999877929688,225.3500061035156,223.16000366210935,223.44000244140625,3609300,0.00710272804104517,2.19000244140625,-0.3382288228822883
18,2020-01-29,224.5,226.3999938964844,224.30999755859372,224.75,2310400,0.002097938772771979,2.089996337890682,-0.3598758762086831
19,2020-01-30,227.8800048828125,228.0800018310547,222.47999572753903,223.1100006103516,3350900,0.015055701037026692,5.600006103515653,0.45035491689750695
20,2020-01-31,224.42999267578125,226.97000122070312,223.42999267578125,226.4900054931641,3948200,-0.015139600373474726,3.540008544921875,0.1782506192366229
21,2020-02-03,223.47000122070312,226.32000732421875,223.0,225.47999572753903,3525000,-0.004277465073328934,3.32000732421875,-0.10718808570994376
22,2020-02-04,225.0800018310547,226.94000244140625,224.7899932861328,226.1499938964844,3642600,0.0072045491634533665,2.1500091552734375,0.03336170212765954
23,2020-02-05,228.6499938964844,228.67999267578125,226.75,226.91000366210935,3360500,0.015860991809078406,1.92999267578125,-0.0774446823697359
24,2020-02-06,229.6100006103516,230.0800018310547,228.52999877929688,229.55999755859372,2799400,0.004198586221269673,1.5500030517578125,-0.16696920101175416
25,2020-02-07,227.3800048828125,228.6199951171875,226.6699981689453,228.07000732421875,2882800,-0.009712101918955107,1.9499969482421875,0.02979209830678009
26,2020-02-10,227.1100006103516,227.75,225.1300048828125,227.1699981689453,2944600,-0.0011874582930019306,2.6199951171875,0.021437491327875646
27,2020-02-11,227.3300018310547,228.58999633789065,227.0200042724609,228.58999633789065,2916400,0.0009686989569452908,1.5699920654297443,-0.009576852543639158
28,2020-02-12,227.44000244140625,228.83999633789065,226.91000366210935,227.6000061035156,3785200,0.0004838807437010928,1.9299926757813068,0.29790152242490753
