Date,Price,Close,High,Low,Open,Volume,Daily Return,Price Range,Volume Change
1,2020-01-03,123.29061126708984,123.94556344767436,121.84970219291718,121.91520454941902,1963500,-0.0033280072471120192,2.0958612547571818,-0.1092006170039016
2,2020-01-06,123.74909973144533,124.02979766818837,122.51404879742208,122.96315693007688,2102900,0.003718762196435632,1.5157488707662878,0.07099567099567095
3,2020-01-07,123.98296356201172,124.3759348082204,123.22508942454606,123.22508942454606,2448300,0.0018898224801142671,1.1508453836743513,0.16424936991773276
4,2020-01-08,125.10578918457033,125.57361426460449,123.51517249094336,123.93622648448488,5188600,0.009056289592537459,2.05844177366113,1.119266429767594
5,2020-01-09,127.173583984375,127.58527239071203,125.38648852818018,125.89174767300844,4522800,0.016528370215977972,2.1987838625318545,-0.12831977797479088
6,2020-01-10,129.11968994140625,129.37231941925415,126.80863347928972,127.04254596106765,4177600,0.015302753103744848,2.5636859399644294,-0.07632440081365521
7,2020-01-13,129.9992218017578,130.98165722150347,129.01678638201216,129.3068356167142,5117100,0.006811756291783988,1.9648708394913115,0.2248898889314439
8,2020-01-14,131.5991973876953,131.8331099420829,129.2320034794442,130.04602887699767,4685200,0.012307578182101597,2.601106462638711,-0.08440327529264624
9,2020-01-15,132.02955627441406,132.57223492271166,131.00033568680064,131.53366297589605,3676500,0.003270224251071152,1.5718992359110189,-0.21529497139929987
10,2020-01-16,132.32899475097656,132.83425383042984,130.85068006770248,132.703263379625,3794800,0.0022679654844870445,1.9835737627273602,0.03217734258125926
11,2020-01-17,130.5980682373047,132.61907627539333,130.3922240328573,131.81441646079637,5393200,-0.013080478068538293,2.2268522425360118,0.4212079687994097
12,2020-01-21,131.8424835205078,132.46001612772986,129.52206056189593,130.52321320786714,4849500,0.009528588745600253,2.9379555658339314,-0.10081213379811615
13,2020-01-22,132.4506378173828,133.09623872891137,131.6366267255714,132.16058854452535,2742100,0.004612733927910284,1.45961200333997,-0.43456026394473657
14,2020-01-23,132.12310791015625,132.6190011371227,130.87869202537257,132.16052761845012,3138700,-0.0024728450736352103,1.740309111750122,0.14463367492068113
15,2020-01-24,130.12088012695312,132.85297699688755,129.77467984477488,132.72198654000331,3183300,-0.01515425889439903,3.0782971521126683,0.01420970465479332
16,2020-01-27,129.4097442626953,130.14891572946055,128.50216265528104,128.50216265528104,2826400,-0.005465194083870251,1.6467530741795144,-0.11211635723934277
17,2020-01-28,130.298583984375,130.87869655964442,129.33486584749522,129.76527103063816,2649100,0.006868414173475168,1.5438307121492016,-0.06272997452589868
18,2020-01-29,130.91612243652344,132.05761637071737,130.02725795383364,130.53250257995853,2815500,0.004739410308729708,2.030358416883729,0.06281378581405006
19,2020-01-30,133.4891815185547,134.47161685723856,129.21326851519078,129.28810795025947,5243400,0.01965425674197485,5.258348342047782,0.8623335109216836
20,2020-01-31,130.6541748046875,133.65761780204485,130.49511600649973,133.65761780204485,3913500,-0.02123772639562649,3.1625017955451256,-0.2536331388030667
21,2020-02-03,131.92665100097656,132.4599783579284,130.6915861387004,131.48689435548908,5137800,0.00973926932064173,1.7683922192280193,0.31284016864699127
22,2020-02-04,134.20962524414062,134.79908925547025,132.65644296859926,133.14298491885364,3177500,0.017304875291249244,2.142646286870985,-0.3815446299972751
23,2020-02-05,137.86802673339844,137.87737809328013,135.2294870044578,135.46339949346807,4060900,0.027258860775468463,2.6478910888223197,0.27801730920535017
24,2020-02-06,137.82125854492188,138.3545716623054,137.36278486968328,138.23294686115457,3285000,-0.00033922432622468524,0.991786792622122,-0.19106601984781701
25,2020-02-07,136.988525390625,137.7463996365532,136.02480699433528,137.7463996365532,2670400,-0.00604212414752725,1.721592642217928,-0.18709284627092848
26,2020-02-10,136.14646911621094,136.183903123023,132.0389648973521,132.39451657761424,4892100,-0.006146911005961431,4.144938225670899,0.8319727381665669
27,2020-02-11,134.96754455566406,136.47394198451863,133.96639196497858,136.35230288702505,2976400,-0.008659237130421493,2.507550019540048,-0.3915905234970667
28,2020-02-12,134.27513122558594,135.57568420163415,134.25642850426618,135.36048869136494,3953200,-0.0051302209902215345,1.3192556973679643,0.32818169600860103
29,2020-02-13,133.3628387451172,135.18741016394827,133.3534245650735,134.35976596962055,3455500,-0.006794202859024434,1.8339855988747615,-0.12589800667813422
30,2020-02-14,132.7233123779297,133.8519234927393,132.2060490263428,133.78608162565794,2273700,-0.004795386579988459,1.6458744663964922,-0.34200549848068296
31,2020-02-18,132.61985778808594,133.51334398552936,132.16842194945798,132.6292719696716,2858200,-0.0007794756474217568,1.344922036071381,0.2570699740511062
32,2020-02-19,132.45054626464844,133.4004455930259,132.00851035171945,133.19353455502153,3082800,-0.0012766679610533016,1.3919352413064416,0.07858092505772873
33,2020-02-20,133.55096435546875,134.31276685600233,132.79856168610556,133.20298404062927,3417000,0.008308143090792308,1.5142051698967691,0.10840794083300898
34,2020-02-21,133.5885772705078,134.1622826881563,131.98033074540103,132.93023032014577,2900900,0.00028163716541151906,2.181951942755262,-0.15103892303189936
35,2020-02-24,129.93003845214844,133.1653599811693,129.66669966265954,130.99280779244214,4727400,-0.027386614133565357,3.4986603185097636,0.6296321831155849
36,2020-02-25,127.35305786132812,130.9457589718932,126.6100551199396,130.6730203946133,3401600,-0.01983360138671386,4.33570385195361,-0.2804501417269535
37,2020-02-26,125.5849380493164,128.8672875412475,125.37802694375696,127.93618756622998,4659000,-0.013883607050385716,3.489260597490528,0.36964957666980247
38,2020-02-27,121.50316619873048,126.6571008613875,121.37149680646546,125.3968346281528,4292800,-0.0325020811730069,5.285604054922047,-0.07860055805966948
39,2020-02-28,118.6252212524414,119.25536148711367,114.2801173525306,118.8603461708502,7898300,-0.023686172437530684,4.975244134583079,0.8398947074170704
40,2020-03-02,124.93598175048828,125.08646515277972,118.7004710707688,120.1394345218238,7355700,0.053199146281187604,6.3859940820109244,-0.06869832748819371
41,2020-03-03,122.55653381347656,127.57879959515046,121.0329286406042,125.3498195310018,6936600,-0.019045337489433267,6.54587095454626,-0.05697622252130996
42,2020-03-04,132.02735900878906,132.47879486887032,125.0864662871861,125.11468013151072,5301900,0.07727719527158383,7.392328581684225,-0.2356630049303693
43,2020-03-05,131.81103515625,133.4663239125484,129.34693038607156,130.1463609195918,6882100,-0.0016384774653006584,4.119393526476841,0.2980440973990457
44,2020-03-06,133.04310607910156,133.8895501463828,127.48474889807638,128.0208263137844,8010700,0.009347251703099468,6.404801248306413,0.1639906423911306
45,2020-03-09,127.64459228515624,132.54458660516184,125.37798506375314,126.04574601789524,5351300,-0.04057717797670479,7.166601541408696,-0.3319809754453419
46,2020-03-10,132.78915405273438,133.48511464152125,126.70411988628288,130.94576833864946,5961200,0.04030379725045674,6.780994755238368,0.11397230579485362
47,2020-03-11,131.68875122070312,133.40045294199183,129.21523280794838,131.16207376799892,7211800,-0.008286842700980346,4.185220134043448,0.20978997517278408
48,2020-03-12,118.52176666259766,128.37820647835022,118.43712513550597,123.00794698453625,7836300,-0.09998564369433749,9.941081342844257,0.08659419285060599
49,2020-03-13,131.07745361328125,131.07745361328125,120.86362512712374,125.03944656965828,6841700,0.10593570534960506,10.21382848615751,-0.12692214437936267
50,2020-03-16,121.6818389892578,130.42847351173353,120.61906988260944,123.20544370075508,6619700,-0.07167986839096985,9.809403629124091,-0.03244807577064179
51,2020-03-17,134.67955017089844,135.04634446897205,123.29951274932804,125.28396763144076,8909200,0.10681718233061943,11.746831719644007,0.3458615949363264
52,2020-03-18,134.5760955810547,135.43195373288492,126.1021986422814,128.22772274982572,6734600,-0.0007681536633622477,9.329755090603527,-0.244084766308984
53,2020-03-19,125.17111206054688,134.47265429470187,123.3183263490648,134.01181858786322,6554800,-0.06988598888903885,11.154327945637064,-0.026697947910789055
54,2020-03-20,115.1171417236328,124.38106048333336,113.0762595043488,124.29641897145092,9113500,-0.0803218104513671,11.30480097898456,0.39035515957771394
55,2020-03-23,111.96648406982422,119.33059073570854,110.0948846356575,113.75342763043037,7299300,-0.027369144218091446,9.235706100051047,-0.19906731771547703
56,2020-03-24,115.5780029296875,117.1862564912185,110.42406879836766,115.90717637641436,6827300,0.032255356501246224,6.762187692850844,-0.06466373487868704
57,2020-03-25,114.68453979492188,118.63463580529948,112.11697236536598,112.97283056703246,6472100,-0.007730390836647061,6.5176634399335,-0.052026423329866844
58,2020-03-26,126.35614013671876,127.66343414259356,114.68453544309118,115.95420860000172,6723600,0.10177134915192543,12.97889869950238,0.038859102918681776
59,2020-03-27,126.1304168701172,129.4221658600231,122.45305955432372,122.87628155427716,4717400,-0.0017864052064057168,6.969106305699398,-0.29838181926348983
