Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2020-01-02,270.6185607910156,273.5791853994959,268.1112992958731,271.9878546134943,2543400
2020-01-03,267.8800354003906,270.04498077350536,263.08752053038893,265.7798319934529,2711400
2020-01-06,269.7395935058594,269.84137926152283,265.7335263928738,266.4551746949551,3079100
2020-01-07,268.111328125,269.68413717675446,266.06663400580146,268.9532560150326,2492900
2020-01-08,273.7642517089844,275.13354575613107,268.342641239613,269.6934133803545,3379200
2020-01-09,272.2099609375,274.96704295373314,271.74736498921624,272.27473114656755,2838200
2020-01-10,273.0517883300781,273.92147065113704,270.3502165644174,273.92147065113704,2477900
2020-01-13,264.4660339355469,272.42268762613537,263.6981090687893,272.34865648411613,6994900
2020-01-14,266.67724609375,266.67724609375,262.9857402524582,264.23475469213594,6056300
2020-01-15,274.23602294921875,277.2244017354579,267.3803503699205,267.3988440359383,6081300
2020-01-16,278.2421875,278.4734854621393,273.7920169672093,275.70717087003004,3710300
2020-01-17,276.1419677734375,278.20515542848653,273.7457246590675,277.5667708968448,4632200
2020-01-21,278.0478210449219,279.90746513330276,273.86596531836125,274.6801384164506,4962800
2020-01-22,278.1034240722656,279.52822747444503,275.10581141343476,279.39868705851256,3117600
2020-01-23,277.057861328125,278.0940713752774,274.458075259414,277.56673363547725,3169600
2020-01-24,270.90533447265625,277.4926937662179,269.748845039528,276.0216425954314,3678500
2020-01-27,262.8376770019531,266.5291824332682,259.11841695215475,266.4551795288483,4399400
2020-01-28,264.4845886230469,266.79756823913624,262.10683880139953,262.6712205097249,4341000
2020-01-29,261.7367248535156,264.7806134355812,259.87710874620734,262.754441364879,3963800
2020-01-30,259.96038818359375,260.75603953629894,255.2789201854874,260.75603953629894,4211800
2020-01-31,252.06851196289062,257.9249635118948,250.8935003311689,257.360610078243,5532600
2020-02-03,253.52101135253906,256.1393195910901,250.5604149480947,254.54798878865543,5646800
2020-02-04,259.8308410644531,262.29185444492924,256.16708973345305,256.5371607771058,4290200
2020-02-05,273.6069641113281,274.781947459574,264.08673317749214,264.2347672444116,5761000
2020-02-06,270.5815124511719,275.03168154204616,268.305549146857,274.78188998833286,3044000
2020-02-07,267.58392333984375,271.4419848454915,267.29711619440366,270.9608671295731,3425900
2020-02-10,265.5578308105469,267.648773546576,264.09604002691776,264.8176885819325,3147400
2020-02-11,269.0365295410156,269.7581780105704,264.5123281181283,265.3912716158097,2992200
2020-02-12,280.77716064453125,282.18344173066475,272.0155949473129,272.9315256083479,6701900
2020-02-13,279.5929260253906,283.0161181663819,277.68703349810045,277.68703349810045,3565500
2020-02-14,276.42877197265625,281.2305191018969,275.0687390591498,279.6021726926348,2485600
2020-02-18,279.5374450683594,280.656919164833,276.6323294605417,277.25222034777914,3241700
2020-02-19,282.4702453613281,283.7655079554343,280.08326345466145,280.6753713971356,3021100
2020-02-20,279.52813720703125,281.4062749892403,275.6053339341469,280.51809897614703,2885500
2020-02-21,278.8805236816406,279.87974651586177,276.27147634569724,277.9923475670293,2987100
2020-02-24,257.0090026855469,267.3711324798489,256.8702295815526,265.42825255471104,8790600
2020-02-25,243.686279296875,260.88559129725485,242.40951010821396,259.1924745089478,8171200
2020-02-26,243.32537841796875,249.64442430118618,239.35629875025228,244.91670901837543,6806600
2020-02-27,234.9246826171875,242.5390066096858,233.2130863853975,239.08805952356312,7604300
2020-02-28,235.88687133789062,237.86678092134025,226.9495165333592,227.7821833786466,9961000
2020-03-02,252.67910766601562,252.79938711218452,231.59400781415707,238.08884379577268,8866300
2020-03-03,241.84510803222656,259.37750228024004,239.83745782722065,254.7515437171347,9188100
2020-03-04,267.7690124511719,273.7087277578163,261.0983595115075,268.3056112504435,14533000
2020-03-05,261.792236328125,267.76899505734974,258.99816755002695,260.533989164884,5908400
2020-03-06,262.63421630859375,263.6519330306877,251.5596682975774,254.8163618082781,5361900
2020-03-09,252.98443603515625,260.38597008361694,239.8467018052938,244.6762039012989,8070700
2020-03-10,259.0536804199219,262.66192246456296,252.1147425515311,258.7946278688864,7366000
2020-03-11,256.999755859375,263.90167821193205,252.8178994330465,254.20568701848512,7744600
2020-03-12,231.67726135253906,251.8649514034069,231.29792936023503,240.54984653464442,10496600
2020-03-13,252.77935791015625,253.87580615877266,225.11709379971882,242.51168975216814,9308400
2020-03-16,209.10702514648438,228.2857000494248,208.0942012110203,226.65031422211243,10303500
2020-03-17,226.9290771484375,231.1476361588896,212.1269234284707,214.47781093959057,9642200
2020-03-18,201.69192504882812,215.06309758634825,186.01634304836585,209.7666663222086,12917500
2020-03-19,204.23800659179688,210.11053872645468,194.1469017444434,201.617657790723,8065200
2020-03-20,191.96324157714844,216.16888133489925,189.0548579913931,207.3786514770827,9364100
2020-03-23,181.06378173828125,191.1827618596052,174.4292990992101,187.7354261119755,10654500
2020-03-24,204.23800659179688,204.67473139197585,184.91065854169713,187.82834374250328,8894400
2020-03-25,217.88795471191406,229.98611970872992,200.70705409721805,203.57827660716814,10014000
2020-03-26,237.3081817626953,239.69621632023168,215.85297576031724,217.46048639714982,7517600
2020-03-27,225.28439331054688,233.78657638861793,221.3724717484182,225.73970612405813,4879500
2020-03-30,233.48919677734375,236.10024451727395,225.46091546786468,225.46091546786468,5329000
2020-03-31,231.7236785888672,236.5090483339851,225.7953837299631,226.24139533279615,5450000
2020-04-01,220.51754760742188,229.1498014146143,218.7706486800111,221.79054589729466,4548800
2020-04-02,223.41668701171875,224.8662356839382,210.0269213931638,218.64060306887583,4636800
2020-04-03,213.24197387695312,222.3945793940678,211.179150089509,221.44680622137213,4650300
2020-04-06,230.75732421875,231.64006061653137,218.47330975131234,223.0078063508858,6365900
2020-04-07,230.47854614257812,247.82669221150354,229.0847474465144,241.41522388099182,4984100
2020-04-08,248.867431640625,250.10328256763927,228.8246104668886,230.153372815186,6390200
2020-04-09,245.42941284179688,251.25548217773903,243.07853977393475,246.23781168645405,4923300
